State,state_abbr,state_name
AK,AK,Alaska
AL,AL,Alabama
AR,AR,Arkansas
AZ,AZ,Arizona
CA,CA,California
CO,CO,Colorado
FL,FL,Florida
GA,GA,Georgia
IA,IA,Iowa
ID,ID,Idaho
IL,IL,Illinois
IN,IN,Indiana
KS,KS,Kansas
KY,KY,Kentucky
LA,LA,Louisiana
MA,MA,Massachusetts
MA,MA,Manitoba
MD,MD,Maryland
ME,ME,Maine
MI,MI,Michigan
MN,MN,Minnesota
MO,MO,Missouri
MS,MS,Mississippi
MT,MT,Montana
NC,NC,North Carolina
NE,NE,Nebraska
NH,NH,New Hampshire
NJ,NJ,New Jersey
NM,NM,New Mexico
NV,NV,Nevada
NY,NY,New York
OH,OH,Ohio
OK,OK,Oklahoma
OR,OR,Oregon
PA,PA,Pennsylvania
RI,RI,Rhode Island
SC,SC,South Carolina
SD,SD,South Dakota
TN,TN,Tennessee
TX,TX,Texas
UT,UT,Utah
VA,VA,Virginia
WA,WA,Washington
WI,WI,Wisconsin
WV,WV,West Virginia
WY,WY,Wyoming
